문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
133,신생아사망률 계산에서 필요한 것은?,,기간 중 사산아 수,기간 중 출생아 수,기간 중 신생아 퇴원 수,기간 중 소아과 퇴원 수,기간 중 신생아 퇴원 수 + 사산아 수,3,신생아사망률 공식은 '기간 중 신생아 사망 수 × 100 / 기간 중 신생아 퇴원 수'이므로 분모에 해당하는 신생아 퇴원 수가 필요합니다. 사산아는 제외됩니다.,신생아사망률,3,38
134,Still birth rate는 무엇에 대한 사산아의 비율인가?,,생존아,분만 수,태아 사망,신생아 퇴원 수,신생아와 사산아의 합,5,"사산율(Still birth rate)은 '기간 중 사산아 수 / 기간 중 출생아 수(신생아 수 + 사산아 수)'로 계산되므로, 신생아와 사산아의 합(총 출생아 수)에 대한 비율입니다.",사산,133,17
135,순부검률에 포함하는 항목은?,,사산아,입원 중 사망한 신생아 환자,법적 문제로 다른 곳으로 이송된 환자,응급실 도착 당시 이미 사망해 있었던 환자,입원수속을 밟지 않은 채 응급실에 있던 중 사망한 환자,2,"순부검률은 입원환자 중의 사망만을 대상으로 하므로 사산아, DOA, 입원 미수속 응급실 사망, 법적 이송 환자는 모두 제외되고 '입원 중 사망한 신생아 환자'가 포함됩니다.",순부검률,55,51
136,S병원의 산과 2025년 1~3월 동안 항목별 조사결과가 다음과 같을 때 S병원의 모성사망률은?,"항목별 조사결과: 분만 후 사망 2명, 유산 190명, 미분만 90명, 산욕기 환자 수 50명, 분만 환자 수 6,200명",0.03%,0.04%,0.50%,0.60%,0.70%,1,"모성사망률 = {모성사망자 수 / 총 산과 퇴원환자 수} × 100입니다. 산과 퇴원환자 총합은 6,200 + 190 + 90 + 50 = 6,530명이며 사망자는 2명이므로, (2 / 6,530) × 100 = 0.03%입니다.",모성사망률,1,33
137,W여성병원의 2025년 2월 사산율은?,"<W여성병원 2025년 2월>
• 신생아 퇴원 수: 350명
• 사산아: 7명",0.02%,0.96%,1.02%,1.96%,2.02%,4,"사산율 = {사산아 수 / (신생아 수 + 사산아 수)} × 100이므로, {7 / (350 + 7)} × 100 = (7 / 357) × 100 = 1.96%입니다.",사산율,53,49
138,D여성병원의 2025년 3월 신생아사망률은?,"<D여성병원의 2025년 3월>
• 퇴원신생아 110명 중 2명은 사망퇴원
• 사산아: 3명
• 타 병원 분만아: 3명",0.60%,1.80%,2.20%,2.70%,4.50%,2,"신생아사망률 = (신생아 사망 수 / 신생아 퇴원 수) × 100입니다. 사산아 및 타 병원 분만아(소아과 분류)는 계산에서 제외하므로, (2 / 110) × 100 = 1.81%로 약 1.8%입니다.",신생아사망률,3,38
139,수술 후 사망률은 수술 후 10일 이내의 사망 수와 무엇과의 비율인가?,,총 퇴원 수,총 수술건수,총 마취건수,총 수술환자 수,총 사망환자 수,4,수술 후 사망률은 기간 중 수술 후 10일 이내 사망자 수와 '기간 중 수술환자의 총수'와의 비율을 백분율로 나타낸 것입니다.,수술,585,47
140,용어의 정의 중 옳은 것은?,,영아 사망은 1세 미만의 사망을 의미한다.,신생아기 사망은 출생 후 한 달 이내 사망을 의미한다.,수술 후 사망은 수술 후 24시간 이내 사망을 의미한다.,조사망률은 기간 중 총 퇴원에 대한 48시간 이후 사망자의 비율을 의미한다.,"사산아란 임신 25주 이상이나 체중 600g 이상인 태아가 사망, 출생한 것을 의미한다.",1,"영아 사망은 생후 1세(1년) 미만의 사망을 정확히 의미합니다. 신생아기 사망은 28일 이내, 수술 후 사망은 10일 이내, 사산아는 임신 20주 이상 또는 체중 501g 이상이 기준입니다.",영아(젖먹이),170,37
141,Post operative death rate에서 다음 중 수술 후 사망에 포함되는 환자는?,,"수술일: 4월 1일, 사망일: 4월 14일","수술일: 5월 10일, 사망일: 5월 22일","수술일: 6월 13일, 사망일: 6월 23일","수술일: 7월 9일, 사망일: 7월 17일","수술일: 9월 3일, 사망일: 9월 13일",4,수술 후 사망(Post operative death)은 수술 후 10일 이내(수술일+9일 이내)에 발생한 사망을 의미합니다. 7월 9일 수술 후 7월 17일 사망은 8일째 사망이므로 범위 내에 포함됩니다.,수술,585,47
142,수술 후 사망률에 포함되는 경우는?,,"수술일: 1월 7일, 사망일자: 1월 20일","수술일: 4월 10일, 사망일자: 4월 21일","수술일: 5월 1일, 사망일자: 5월 10일","수술일: 5월 7일, 사망일자: 5월 19일","수술일: 5월 10일, 사망일자: 5월 20일",3,"수술 후 10일 이내(당일 포함 10일째까지)의 사망건만 수술 후 사망 통계에 포함되므로, 5월 1일 수술 후 5월 10일 사망(9일 후 사망)한 케이스가 유일하게 성립합니다.",수술,585,47
143,일일퇴원분석에서 사산아(still birth) 수를 찾는 항목은?,,분만,유산,부인과,미분만,신생아,1,"일일퇴원분석 시 해당 병원 분만실에서 분만한 경우, 살아있는 신생아와 사산아 모두 '분만' 항목으로 분류하여 전수 분석합니다.",미분만,224,44
144,산과로 분류하는 질환은?,,질염,난소낭종,자궁외임신,자궁경부염,자궁내막증식증,3,"임신 및 분만과 관련된 질환인 유산, 자궁외임신, 산후출혈 등은 산과(OB)로 분류됩니다. 일반 여성생식기 질환(질염, 난소낭종 등)은 부인과(GY)에 속합니다.",임신(수태),130,11
145,일일퇴원분석의 기준을 잘 설명한 것은?,,일일퇴원분석은 2~3일 간격으로 시행한다.,일일퇴원분석의 목표는 다음 날 입원환자 수의 예측이다.,퇴원환자의 명단과 대조하며 누락됨 없이 전수를 분석한다.,특별한 통계서식 없이 필요할 때마다 서식을 맞추어 사용한다.,퇴원 의무기록은 퇴원 후 1주일 내에 의무기록부서로 전달되어야 한다.,3,"일일퇴원분석은 매일 시행하며, 퇴원환자 명단과 대조하여 전수를 누락 없이 분석하는 체계를 유지해야 합니다. 퇴원 기록은 24시간 내에 전달되어야 합니다.",환자,582,7
146,일일퇴원분석에서 사산아의 분류항목은?,,유산,분만,미분만,소아과,신생아과,2,143번 문항과 동일하게 일일퇴원분석 지침상 사산아는 '분만' 항목 하위로 분류하여 통계를 산출합니다.,미분만,224,44
147,일일퇴원분석에서 자궁외임신 진단으로 수술 후 퇴원한 환자의 분류 항목은?,,분만,유산,미분만,신생아,분만 후 입원,2,자궁외임신은 임신을 지속할 수 없어 수술(난관절제술 등)과 동시에 임신이 종료되는 기전이므로 일일퇴원분석 시 '유산' 항목으로 분류합니다.,유산(낙태),132,15
148,일일퇴원환자 분석 항목으로 옳은 것은?,,재원일수,외래 진료과,재원환자 연인원수,재입원 가능 환자 수,일일평균 재원환자 수,1,"일일퇴원분석의 핵심 내용에는 퇴원일, 퇴원과, 재원일수(단입/양입), 수술 및 감염 여부 등이 포함됩니다. 연인원수나 평균재원환자 수는 재원환자조사(Census) 항목입니다.",재원일수,213,60
149,일일퇴원분석에서 자궁외임신(ectopic pregnancy) 환자가 난관절제술 후 퇴원한 경우의 분류 항목은?,,유산,분만,부인과,미분만,분만 후,1,"147번 문항과 동일한 원리로, 자궁외임신에 따른 수술 퇴원 환자는 임신 20주 미만 조기 종료 케이스로서 '유산'으로 분류하여 집계합니다.",유산(낙태),132,15
150,일일퇴원분석 방법으로 옳은 것은?,,분만은 사산아는 제외된다.,재원일수는 단일법으로 계산한다.,감염은 입원 전/후 감염으로 구분한다.,구급차에서 분만 후 입원한 아기는 신생아과이다.,수술 후 사망은 수술 후 48시간 이내 사망을 의미한다.,2,퇴원환자 분석 시 재원일수는 입원일과 퇴원일 중 하루만 넣는 단입법(단일법)으로 파악하는 것이 글로벌/국내 표준 통계 원칙입니다.,재원일수,213,60
151,P병원에서 환자센서스 자료를 이용하여 계산할 수 있는 것으로 옳은 것은?,,평균재원일수,협의진단건수,평균재원환자 수,수술 후 감염건수,퇴원환자 총재원일수,3,"환자센서스(재원환자조사) 자료를 이용하면 일일평균 재원환자 수, 시점재원환자 수, 재원환자 연인원수, 병상이용률 등을 산출할 수 있습니다.",재원환자,218,56
152,병상이용률에 대한 설명이 옳은 것은?,,기간 중 재원환자 연인원수와 총 병상수의 비율,기간 중 일일평균 재원환자 수와 총 병상수와의 비율,기간 중 일일평균 퇴원환자 수와 총 병상수와의 비율,기간 중 재원환자를 제외한 이용가능한 여유 병상수의 비율,기간 중 재원환자 연인원수와 기간 중 가동될 수 있는 총 병상수와의 비율,5,"병상이용률(가동률)은 해당 병원의 이용 가능한 총 병상 숫자 중에서 실제로 이용한 병상 수의 비율을 의미하며, '기간 중 재원환자 연인원수 / (총 병상수 × 기간 중 날 수) × 100'으로 정의됩니다.",병상가동률(병상이용률),19,64
153,용어의 설명 중 옳은 것은?,,사망환자는 통계분석을 하지 않아도 된다.,진료통계 비교 월보는 원무과에서 작성한다.,외래환자 통계 시 일요일은 0.5일로 계산한다.,퇴원과는 환자를 최종적으로 퇴원시킨 과를 말한다.,병원통계는 업무의 일관성을 위하여 변경하지 않아야 한다.,4,"퇴원과는 환자에게 최종적으로 퇴원 지시를 내려 퇴원시킨 과를 의미합니다. 외래통계 시 토요일은 0.5일로, 일요일은 계산하지 않습니다.",환자,582,7
154,병원에 오는 도중 분만된 아기의 통계 분류상 입원과는?,,산과,응급실,신생아과,중환자실,소아청소년과,5,병원 외부나 내원 도중(구급차 등)에 분만되어 입원한 아기는 신생아과가 아닌 소아청소년과 환자로 분류합니다.,소아청소년과,221,10
155,재원상황조사(census) 결과 구해지는 것은?,,조사망률,원내감염률,평균재원일수,일일평균 재원환자 수,퇴원환자 총 재원일수,4,"일일재원환자조사(Census)를 통해 시점재원환자 수, 일일재원환자 수, 재원환자 연인원수, 일일평균 재원환자 수, 병상이용률 등을 계산할 수 있습니다.",일일 평균 재원환자수,7,59
156,일일재원환자 분석(daily inpatient census)으로 구할 수 있는 것은?,,병상회전율,병상이용률,총 재원일수,일일재원일수,평균재원일수,2,"일일재원환자분석으로 파악할 수 있는 지표는 시점재원환자수, 일일재원환자수, 재원환자연인원수, 일일평균재원환자수, 병상이용률입니다. 평균재원일수나 병상회전율은 일일퇴원분석 지표입니다.",병상가동률(병상이용률),19,64
157,일일분석과 관련된 설명 중 옳은 것은?,,사망률 계산에서 사산아는 포함,"분만에 신생아는 포함, 사산아는 제외",이용 가능한 병상에서 수술실의 병상 포함,사망률 계산에서 응급실 도착 시 이미 사망한 환자(DOA) 포함,일일재원환자 분석 시 당일 입원 후 당일 퇴원한 환자는 조사 대상에서 포함,5,일일재원환자 분석(Census) 시 당일 입원하여 당일 퇴원(또는 사망)한 환자도 입퇴원 실인원 및 조사 대상에 포함해야 합니다. 사산아와 DOA는 사망률 계산에서 제외됩니다.,재원환자,218,56
158,입원할 당시 주진단과 함께 갖고 있었던 상태(pre-existing conditions)로 환자의 재원일수 증가의 원인이 되는 경우는?,,합병증(complication),복합질병(comorbidity),임상 진단(clinical diagnosis),감별 진단(differential diagnosis),병리학적 진단(pathological diagnosis),2,"환자가 입원할 당시 주진단과 함께 이미 가지고 있던 기왕증 상태를 복합질병(공존질환, comorbidity)이라고 하며, 이는 치료 기간 및 재원일수 증가의 원인이 됩니다.",,,
159,다음의 사례에서 4월 30일의 재원환자 수는?,"• 2025년 4월 29일 자정 센서스 조사기간에 재원한 성인과 소아환자는 455명이었다.
• 4월 30일 하루 동안 성인과 소아환자 21명이 입원하였고, 15명 퇴원하였다.
• 30일에 입원하였다가 같은 날 바로 퇴원한 사람이 3명이었다.",442명,455명,458명,461명,464명,5,4월 30일 자정 기준 시점 재원환자 수 = 전일 재원자(455) + 당일 입원(21) - 당일 퇴원(15) = 461명입니다. 일일 재원환자 수는 여기에 당일 입퇴원환자(3명)를 더하므로 461 + 3 = 464명입니다.,재원환자,218,56
160,2025년 3월 24일에 입원하여 4월 10일에 퇴원한 환자의 재원기간은?,,14일,15일,16일,17일,18일,4,"단입법을 적용하여 '퇴원일 - 입원일'로 계산합니다. 3월은 31일까지 있으므로 3월 재원일수는 (31 - 24) = 7일이며, 4월 재원일수는 10일이므로 총 재원기간은 7 + 10 = 17일입니다.",재원일수,213,60
161,기간 중 퇴원환자들의 총 재원일수를 그 퇴원환자 수로 나누어 계산하는 것은?,,병상이용률,평균 재원일수,일일 재원환자 수,재원환자 연인원수,일일평균 재원환자 수,2,퇴원환자들의 총 재원일수 합계를 해당 기간의 총 퇴원환자 수로 나눈 값을 평균 재원일수라고 합니다.,평균재원일수,18,62
162,일일평균 재원환자 수를 계산할 때 필요한 것은?,,기간 중 총 퇴원 수,기간 중 총 사망 수,기간 중 재원환자 연인원수,기간 중 퇴원환자 총 재원일수,기간 중 퇴원환자 평균재원일수,3,일일평균 재원환자 수 = 일정기간의 재원환자 연인원수 / 일정기간의 총 날수이므로 계산을 위해 재원환자 연인원수가 필요합니다.,재원환자 연인원수,579,58
163,H병원의 2024년 조사망률 계산식은?,"<H병원 2024년 진료 통계 현황>
[퇴원환자 수 (명)]
• 성인 및 소아: 13,710
• 신생아: 1,802
• 외과: 1,351
• 산과 (분만: 1,743 / 유산: 310 / 미분만(산전): 96 / 미분만(산후): 13)
• 출생아(live birth): 1,727
• 수술환자 수: 1,113
• 수술건 수: 1,230

[사망 수 및 기타 (명)]
• 성인 및 소아 사망 (48시간 이전: 41 / 48시간 이후: 298)
• 신생아 사망 (48시간 이전: 30 / 48시간 이후: 22)
• 수술 후 10일 이내 사망: 10
• 수술 후 12일째 사망: 2
• 산과 사망 (분만: 1 / 유산: 1)
• 사산아 수 (중기: 4 / 만기: 12)","(41+298+30+22) / (13,710+1,802) × 100","(41+298+30+22) / (13,710+1,802+1,351) × 100","(41+298+30+22+10) / (13,710+1,802) × 100","(41+298+30+22+10) / (13,710+1,802+1,351) × 100","(41+298+30+22+10) / (13,710+1,802+1,351+1,629) × 100",1,"조사망률 = {기간 중 총 사망자 수(신생아 포함) / 기간 중 총 퇴원환자 수(사망 및 신생아 포함)} × 100이므로, 분자는 (41 + 298 + 30 + 22), 분모는 (13,710 + 1,802)가 됩니다.",조사망률(보통사망률),46,77
164,H병원의 2024년 신생아사망률 계산식은?,"<H병원 2024년 진료 통계 현황>
[퇴원환자 수 (명)]
• 성인 및 소아: 13,710
• 신생아: 1,802
• 외과: 1,351
• 산과 (분만: 1,743 / 유산: 310 / 미분만(산전): 96 / 미분만(산후): 13)
• 출생아(live birth): 1,727
• 수술환자 수: 1,113
• 수술건 수: 1,230

[사망 수 및 기타 (명)]
• 성인 및 소아 사망 (48시간 이전: 41 / 48시간 이후: 298)
• 신생아 사망 (48시간 이전: 30 / 48시간 이후: 22)
• 수술 후 10일 이내 사망: 10
• 수술 후 12일째 사망: 2
• 산과 사망 (분만: 1 / 유산: 1)
• 사산아 수 (중기: 4 / 만기: 12)","(30+22) / 1,802 × 100","(30+22) / (13,710+1,802) × 100","(30+22+4+12) / 1,802 × 100","(30+22+4+12) / (13,710+2) × 100","(30+22+4+12+10) / (1,802+30+2) × 100",1,"신생아사망률 = (기간 중 신생아 사망 수 / 기간 중 신생아 퇴원 수) × 100이므로, 신생아 사망자 총합 (30 + 22) 분의 신생아 퇴원환자 수 1,802 가 공식이 됩니다. 사산아는 제외됩니다.",신생아사망률,3,38
165,H병원의 2024년 순사망률 계산식은?,"<H병원 2024년 진료 통계 현황>
[퇴원환자 수 (명)]
• 성인 및 소아: 13,710
• 신생아: 1,802
• 외과: 1,351
• 산과 (분만: 1,743 / 유산: 310 / 미분만(산전): 96 / 미분만(산후): 13)
• 출생아(live birth): 1,727
• 수술환자 수: 1,113
• 수술건 수: 1,230

[사망 수 및 기타 (명)]
• 성인 및 소아 사망 (48시간 이전: 41 / 48시간 이후: 298)
• 신생아 사망 (48시간 이전: 30 / 48시간 이후: 22)
• 수술 후 10일 이내 사망: 10
• 수술 후 12일째 사망: 2
• 산과 사망 (분만: 1 / 유산: 1)
• 사산아 수 (중기: 4 / 만기: 12)","298 / (13,710+1,802) × 100","(298+22) / (13,710+1,802) × 100","(298+22) / ((13,710+1,802)-(41+30)) × 100","((298+22)-(41+30)) / ((13,710+1,802)-(41+30)) × 100","(298+22) / ((13,710+1,802)-(41+30)+(10)) × 100",3,"순사망률 = {(총 사망자 수 - 48시간 이전 사망자 수) / (총 퇴원환자 수 - 48시간 이전 사망자 수)} × 100입니다. 분자는 48시간 이후 사망자만을 뜻하므로 (298 + 22)가 되며, 분모는 전체 퇴원수에서 이전 사망자를 빼므로 ((13,710 + 1,802) - (41 + 30))이 됩니다.",순사망률,44,46
166,H병원의 2024년 수술 후 사망률 계산식은?,"<H병원 2024년 진료 통계 현황>
[퇴원환자 수 (명)]
• 성인 및 소아: 13,710
• 신생아: 1,802
• 외과: 1,351
• 산과 (분만: 1,743 / 유산: 310 / 미분만(산전): 96 / 미분만(산후): 13)
• 출생아(live birth): 1,727
• 수술환자 수: 1,113
• 수술건 수: 1,230

[사망 수 및 기타 (명)]
• 성인 및 소아 사망 (48시간 이전: 41 / 48시간 이후: 298)
• 신생아 사망 (48시간 이전: 30 / 48시간 이후: 22)
• 수술 후 10일 이내 사망: 10
• 수술 후 12일째 사망: 2
• 산과 사망 (분만: 1 / 유산: 1)
• 사산아 수 (중기: 4 / 만기: 12)","10 / 1,113 × 100","12 / 1,230 × 100","(10+2) / 1,113 × 100","(298+22) / 1,113 × 100","(298+22) / 1,230 × 100",1,"수술 후 사망률 = (수술 후 10일 이내 사망자 수 / 수술환자 총수) × 100이므로 10 / 1,113 × 100이 올바른 수식입니다. (12일째 사망한 2명은 10일을 초과하여 제외)",수술 후 사망률,47,47
167,H병원의 2024년 사산율 계산식은?,"<H병원 2024년 진료 통계 현황>
[퇴원환자 수 (명)]
• 성인 및 소아: 13,710
• 신생아: 1,802
• 외과: 1,351
• 산과 (분만: 1,743 / 유산: 310 / 미분만(산전): 96 / 미분만(산후): 13)
• 출생아(live birth): 1,727
• 수술환자 수: 1,113
• 수술건 수: 1,230

[사망 수 및 기타 (명)]
• 성인 및 소아 사망 (48시간 이전: 41 / 48시간 이후: 298)
• 신생아 사망 (48시간 이전: 30 / 48시간 이후: 22)
• 수술 후 10일 이내 사망: 10
• 수술 후 12일째 사망: 2
• 산과 사망 (분만: 1 / 유산: 1)
• 사산아 수 (중기: 4 / 만기: 12)",12 / (1743+16) × 100,"(4+12) / (1,727+16) × 100","(4+12) / (1,743+16) × 100","12 / (1,743+310+96+1) × 100","(4+12) / (1,743+310+96+13) × 100",2,"사산율 = {기간 중 총 사산아 수 / (기간 중 출생아 수 + 사산아 수)} × 100이므로, 사산아 총합 (4 + 12) 분의 출생아수와 사산아수를 더한 (1,727 + 16) × 100이 맞습니다.",사산율,53,49
168,A산부인과 병원에서 2024년 400명의 산모가 분만하여 408명의 출산아를 낳았다. 이 중 50명이 제왕절개수술을 하여 분만하였다. 이 병원의 2024년 제왕절개율로 옳은 것은?,,10.50%,11%,11.50%,12%,12.50%,5,제왕절개율은 출산아 수가 아닌 '총 분만 건수(산모 수)'를 분모로 합니다. 제왕절개율 = (제왕절개 분만 수 / 총 분만 수) × 100 = (50 / 400) × 100 = 12.5%입니다.,제왕절개율,50,55
169,"A병원 2024년 10월 퇴원환자수는 2,002명이다. 이 중 20명이 사망하였고 6명이 부검되었다. 퇴원 후 집에서 사망한 1명의 사체가 A병원으로 보내져 병원의사가 부검하였다. A병원의 2024년 10월 병원부검률로 가장 옳은 것은?",,11%,"28,6%",30%,33.30%,35%,4,"병원부검률 = {(입원사망 중 부검 수 + 입원사망 외 부검 수) / (총 입원사망자 수 + 입원사망 외 부검 수)} × 100이므로, {(6 + 1) / (20 + 1)} × 100 = (7 / 21) × 100 = 33.3%입니다.",병원부검률,56,52
170,11월 30일 자정 census 조사기간의 재원환자 수는?,"• 11월 29일 자정 census 조사기간에 재원한 성인 소아환자는 475명
• 11월 30일 하루 동안 성인 소아환자 12명이 입원
• 11월 30일 하루 동안 9명이 퇴원, 2명이 사망
• 11월 30일에 입원하였다가 같은 날 바로 퇴원한 사람이 2명 (원문 오독 교정: 29일 퇴원은 당일 시점재원 계산용 전일 마감 현황에 준함)",475명,476명,478명,481명,496명,2,11월 30일 자정 기준 시점 재원환자 수 = 전일 재원자(475) + 당일 입원(12) - 당일 퇴원(9) - 당일 사망(2) = 476명입니다.,재원환자,218,56
171,11월 30일 재원환자 수는?,"• 11월 29일 자정 census 조사기간에 재원한 성인 소아환자는 475명
• 11월 30일 하루 동안 성인 소아환자 12명이 입원
• 11월 30일 하루 동안 9명이 퇴원, 2명이 사망
• 11월 30일에 입원하였다가 같은 날 바로 퇴원한 사람이 2명 (원문 오독 교정: 29일 퇴원은 당일 시점재원 계산용 전일 마감 현황에 준함)",462명,475명,478명,481명,486명,3,"일일 재원환자 수 = 시점 재원환자 수 + 당일 입퇴원환자 수이므로, 170번 문항에서 구한 시점 재원환자 수 476명에 당일 입퇴원환자 2명을 더하여 476 + 2 = 478명입니다.",재원환자,218,56
172,G병원의 2024년 12월 30일 자정에 재원한 환자 수는?,"• G병원의 2024년 12월 29일 census 조사기간에 재원한 성인 및 소아 환자는 500명이었다.
• 12월 30일 하루 동안 성인 및 소아 환자 20명이 입원하였다.
• 그날 15명이 퇴원, 1명이 사망하고 30일에 입원하였다가 같은 날 퇴원한 환자는 3명이었다.",504명,505명,506명,507명,520명,1,12월 30일 자정 시점 재원환자 수 = 전일 자정 재원자(500) + 당일 입원(20) - 당일 퇴원(15) - 당일 사망(1) = 504명입니다. (당일 입퇴원자는 자정 시점 계산에서 상쇄됨),재원환자,218,56
173,G병원의 2024년 12월 30일 일일재원환자 수는?,"• G병원의 2024년 12월 29일 census 조사기간에 재원한 성인 및 소아 환자는 500명이었다.
• 12월 30일 하루 동안 성인 및 소아 환자 20명이 입원하였다.
• 그날 15명이 퇴원, 1명이 사망하고 30일에 입원하였다가 같은 날 퇴원한 환자는 3명이었다.",504명,505명,506명,507명,520명,4,"일일재원환자 수 = 시점 재원환자 수 + 당일 입퇴원환자 수이므로, 앞서 구한 시점 재원환자 수 504명에 당일 입퇴원 환자 3명을 더하여 504 + 3 = 507명입니다.",재원환자,218,56
174,응급환자의 민원상담률이 작년 3%에서 올해 6%로 상승하였다면 이러한 변화에 대한 통계적 표현으로 옳은 것은?,,민원상담률이 100% 상승했다.,응급환자의 민원상담률이 작년에 비해 3% 상승했다.,응급환자의 민원상담률이 작년에 비해 50% 상승했다.,응급환자의 민원상담률이 작년에 비해 200% 상승했다.,응급환자의 민원상담률이 작년에 비해 3%포인트 상승했다.,5,퍼센트(%) 간의 단순 산술적 수치 차이를 표현할 때는 '퍼센트포인트(%p)'라는 단위를 사용하여 표현해야 통계학적으로 정확합니다. (6% - 3% = 3%포인트 상승),응급환자,126,9
175,다음에서 설명하는 지표는?,"• 각각의 편차를 제곱하여 이를 산술평균한 것
• 자료의 중심(평균)으로부터 자료들이 얼마만큼 흩어져 있는가를 하나의 숫자로 나타내 주는 척도",평균,분산,중앙값,최빈값,표준편차,2,"자료의 평균으로부터 각 관측값들이 얼마나 흩어져 있는가를 나타내는 산포성 척도 중에서, 편차 제곱의 산술평균으로 정의되는 지표는 분산(variance)입니다.",분산,298,109
176,대푯값을 중심으로 자료들이 흩어져 있는 정도는?,,민감도,타당도,신뢰도,산포도,중심경향성,4,관찰한 자료들이 중심 대푯값(평균 등)을 기준으로 흩어져 분포하고 있는 양상이나 정도를 나타내는 통계적 개념을 산포도라고 합니다.,산포도,295,99
177,통계자료를 비교할 때 우선 먼저 결정해야 할 사항은?,,자료 해석,통계결과 분석,통계적 분석 기법,자료수집의 체계성,용어 정의의 일관성,5,서로 다른 집단이나 기간의 통계자료를 상호 비교하기 위해서 선결되어야 할 요건은 사용하는 용어에 대한 정의를 명확히 일통하여 일관성을 갖추는 일입니다.,,,
178,나열된 수 중 최빈수는?,"31, 34, 42, 55, 15, 42, 37, 55, 42, 61, 34, 88, 97, 44, 51, 52",34,37,42,55,97,3,"주어진 자료값 중에서 '42'는 총 3회 나타나 가장 높은 빈도를 보이므로 최빈수(mode)에 해당합니다. (34는 2회, 55는 2회 출현)",최빈수,294,98
179,"진료통계의 많은 부분이 의료정보/의무기록부서에서 수집, 분석 및 이용되고 있는 것을 감안할 때 의무기록 실무자가 통계 관련, 우선적으로 해야 하는 업무는?",,통계수집,통계작성 및 처리,통계수집 및 이용,통계수집 및 분석,통계체계 확립 및 개발,5,신뢰성 있고 유용한 진료 통계 정보를 도출하고 활용하기 위해서는 원내 통계수집 체계의 확립 및 개발 업무가 최우선적으로 정립되어야 합니다.,,,
180,최초로 통계 개념으로 질병을 분류한 사람은?,,Bertillon,Captain John Graunt,De. Sauvages,Geneva,William Farr,2,17세기 영국 런던의 사망일람표를 분석하여 최초로 인구 통계학 및 질병 통계적 개념의 문서 체계를 확립한 인물은 존 그랜트(Captain John Graunt)입니다.,,,
181,일정 기간 특정 질환을 앓고 있는 사람 수를 해당 지역의 전체 인구 수로 나눈 것을 뜻하는 통계용어는?,,표본(sample),발병률(attack rate),발생률(incidence rate),이환율(morbidity rate),유병률(prevalence rate),5,특정 시점 또는 기간 동안 특정 질병을 가지고 있는 환자의 수를 해당 지역의 총 인구 수로 나누어 구하는 지표는 유병률(prevalence rate)입니다.,유병률,96,43
182,병원통계의 종류는?,,"행정통계, 질병통계","행정통계, 진료통계","진료통계, 재정통계","질병통계, 인사통계","질병통계, 수술통계",2,"병원 통계 체계는 크게 인사, 재정, 자산 등 병원의 운영에 관한 '행정통계'와 환자의 발생, 진료 실적 및 결과에 관한 '진료통계'의 두 가지 종류로 대별됩니다.",,,
183,"M병원에 처음 내원하여 환자등록, 진찰권 발급, 환자색인 작성, 의료정보/의무기록 작성 등이 진행된 경우 이 환자를 뜻하는 용어는?",,신환,구환,초진,재진,외래환자,1,해당 병원에 생애 처음으로 내원하여 고유의 인적 정보 등록 및 진찰권 발급 등의 원무 행정 절차를 거치며 신규 기록이 생성되는 환자를 신환(New Patient)이라고 합니다.,신환,120,3
184,당뇨병(DM)으로 내분비내과(endocrinology) 외래에서 처음 진료를 받은 환자는?,,신환,구환,초진,재진,외래환자,3,"병원 방문 이력과 관계없이, 특정 질병(DM)으로 인해 '특정 진료과(내분비내과)'에서 생애 최초로 진료를 개시하는 경우를 의학 통계상 초진이라고 정의합니다.",초진,122,5
185,"""원내 감염""에 대한 옳은 설명은?",,의사가 항생제 처방을 지시한 질환은 모두 해당된다.,병원 내 무균적 환경 상태에서 발생한 것만 해당된다.,입원해서부터 진료를 받는 전 과정에서 발생한 감염이다.,감염위원회에서 원내 감염이라고 판정한 경우만 해당된다.,보건의료정보관리사는 의무기록을 검토하던 중 감염이라고 판단한 경우만 해당된다.,3,원내 감염(병원체 감염)은 환자가 병원에 입원한 시점 이후부터 퇴원하기까지 진료를 받는 병원 내 전 과정 환경에서 새롭게 획득되어 발생한 감염 상태를 뜻합니다.,,,
186,소아청소년과에서 2회 이상 진료를 받은 환자는?,,신환,구환,초진,재진,외래환자,4,특정 질환이나 상병 관리를 위해 해당 진료과에서 2회 차 이상 반복하여 진료 서비스를 연이어 제공받는 환자를 재진 환자라고 합니다.,재진,123,6
187,M병원에 내원한 경험이 있는 환자가 M병원에 재차 진료를 받기 위하여 온 경우는?,,신환,구환,초진,재진,외래환자,2,과거에 해당 병원을 방문하여 환자 등록 및 진료를 받았던 이력이 있는 환자가 시간이 지나 병원을 다시 찾아온 전체 경우를 구환이라고 칭합니다.,구환,121,4
